code,data_type,unit,n_points,total,first_date,last_date
PLOT01551,rainfalls,mm,98,252.2,2026-04-20T00:00:00Z,2026-07-27T00:00:00Z
PLOT01558,rainfalls,mm,99,275.0,2026-04-20T00:00:00Z,2026-07-27T00:00:00Z
PLOT01599,irrigation,mm,7,158.0,2026-05-11T00:00:00Z,2026-07-17T00:00:00Z
PLOT01599,rainfalls,mm,80,96.2,2026-05-09T00:00:00Z,2026-07-27T00:00:00Z
PLOT01787,rainfalls,mm,111,484.8,2026-04-08T00:00:00Z,2026-07-27T00:00:00Z
PLOT01867,irrigation,mm,1,30.0,2026-06-16T00:00:00Z,2026-06-16T00:00:00Z
PLOT01867,rainfalls,mm,98,278.2,2026-04-21T00:00:00Z,2026-07-27T00:00:00Z
PLOT01876,irrigation,mm,14,197.0,2026-06-14T00:00:00Z,2026-07-25T00:00:00Z
PLOT01876,rainfalls,mm,42,128.522,2026-05-01T00:00:00Z,2026-06-28T00:00:00Z
PLOT01877,irrigation,mm,9,180.0,2026-06-13T00:00:00Z,2026-07-25T00:00:00Z
PLOT01877,rainfalls,mm,88,108.0,2026-05-01T00:00:00Z,2026-07-27T00:00:00Z
PLOT01913,irrigation,mm,2,53.0,2026-06-08T00:00:00Z,2026-06-25T00:00:00Z
PLOT01913,rainfalls,mm,91,578.4,2026-04-28T00:00:00Z,2026-07-27T00:00:00Z
PLOT01976,irrigation,mm,4,36.0,2026-04-21T00:00:00Z,2026-05-29T00:00:00Z
PLOT01976,rainfalls,mm,103,470.2,2026-04-16T00:00:00Z,2026-07-27T00:00:00Z
PLOT01977,rainfalls,mm,92,342.6,2026-04-27T00:00:00Z,2026-07-27T00:00:00Z
PLOT01978,irrigation,mm,96,265.4,2026-04-23T00:00:00Z,2026-07-27T00:00:00Z
PLOT01978,rainfalls,mm,109,107.0,2026-04-10T00:00:00Z,2026-07-27T00:00:00Z
PLOT01979,irrigation,mm,4,55.0,2026-04-25T00:00:00Z,2026-06-19T00:00:00Z
PLOT01979,rainfalls,mm,109,641.6,2026-04-10T00:00:00Z,2026-07-27T00:00:00Z
PLOT01981,rainfalls,mm,109,406.0,2026-04-10T00:00:00Z,2026-07-27T00:00:00Z
PLOT01982,irrigation,mm,17,200.0,2026-05-26T00:00:00Z,2026-07-17T00:00:00Z
PLOT01982,rainfalls,mm,87,155.0,2026-04-24T00:00:00Z,2026-07-27T00:00:00Z
PLOT01983,rainfalls,mm,99,299.3,2026-04-20T00:00:00Z,2026-07-27T00:00:00Z
PLOT01984,rainfalls,mm,102,269.2,2026-04-17T00:00:00Z,2026-07-27T00:00:00Z
PLOT01985,irrigation,mm,98,210.0,2026-04-21T00:00:00Z,2026-07-27T00:00:00Z
PLOT01985,rainfalls,mm,109,112.0,2026-04-10T00:00:00Z,2026-07-27T00:00:00Z
PLOT01986,irrigation,mm,2,25.0,2026-04-24T00:00:00Z,2026-05-26T00:00:00Z
PLOT01986,rainfalls,mm,109,521.4,2026-04-10T00:00:00Z,2026-07-27T00:00:00Z
PLOT01987,irrigation,mm,76,185.8,2026-05-09T00:00:00Z,2026-07-27T00:00:00Z
PLOT01987,rainfalls,mm,150,190.5,2026-02-28T00:00:00Z,2026-07-27T00:00:00Z
PLOT01988,rainfalls,mm,109,365.7,2026-04-10T00:00:00Z,2026-07-27T00:00:00Z
PLOT01989,rainfalls,mm,109,278.0,2026-04-10T00:00:00Z,2026-07-27T00:00:00Z
PLOT01990,rainfalls,mm,109,448.8,2026-04-10T00:00:00Z,2026-07-27T00:00:00Z
PLOT01991,rainfalls,mm,109,359.6,2026-04-10T00:00:00Z,2026-07-27T00:00:00Z
PLOT01992,irrigation,mm,1,15.0,2026-06-01T00:00:00Z,2026-06-01T00:00:00Z
PLOT01992,rainfalls,mm,66,338.4,2026-05-23T00:00:00Z,2026-07-27T00:00:00Z
PLOT01993,irrigation,mm,5,61.0,2026-04-25T00:00:00Z,2026-07-03T00:00:00Z
PLOT01993,rainfalls,mm,94,360.2,2026-04-24T00:00:00Z,2026-07-27T00:00:00Z
PLOT01994,rainfalls,mm,150,418.1,2026-02-28T00:00:00Z,2026-07-27T00:00:00Z
PLOT01995,irrigation,mm,98,379.0,2026-04-21T00:00:00Z,2026-07-27T00:00:00Z
PLOT01995,rainfalls,mm,150,166.0,2026-02-28T00:00:00Z,2026-07-27T00:00:00Z
PLOT01997,irrigation,mm,1,15.0,2026-04-28T00:00:00Z,2026-04-28T00:00:00Z
PLOT01997,rainfalls,mm,107,442.8,2026-04-10T00:00:00Z,2026-07-27T00:00:00Z
PLOT01998,irrigation,mm,1,25.0,2026-05-27T00:00:00Z,2026-05-27T00:00:00Z
PLOT01998,rainfalls,mm,109,478.6,2026-04-10T00:00:00Z,2026-07-27T00:00:00Z
PLOT01999,irrigation,mm,10,396.0,2026-04-30T00:00:00Z,2026-07-25T00:00:00Z
PLOT01999,rainfalls,mm,106,209.4,2026-04-10T00:00:00Z,2026-07-27T00:00:00Z
PLOT02000,rainfalls,mm,109,480.0,2026-04-10T00:00:00Z,2026-07-27T00:00:00Z
PLOT02001,rainfalls,mm,88,731.6,2026-05-01T00:00:00Z,2026-07-27T00:00:00Z
PLOT02125,irrigation,mm,10,290.0,2026-06-01T00:00:00Z,2026-07-23T00:00:00Z
PLOT02125,rainfalls,mm,69,47.8,2026-05-20T00:00:00Z,2026-07-27T00:00:00Z
PLOT02126,irrigation,mm,11,215.0,2026-05-27T00:00:00Z,2026-07-25T00:00:00Z
PLOT02126,rainfalls,mm,71,51.0,2026-05-18T00:00:00Z,2026-07-27T00:00:00Z
PLOT02127,irrigation,mm,9,190.0,2026-05-26T00:00:00Z,2026-07-22T00:00:00Z
PLOT02127,rainfalls,mm,71,51.0,2026-05-18T00:00:00Z,2026-07-27T00:00:00Z
PLOT02128,rainfalls,mm,79,308.0,2026-05-10T00:00:00Z,2026-07-27T00:00:00Z
PLOT02129,rainfalls,mm,76,252.2,2026-05-13T00:00:00Z,2026-07-27T00:00:00Z
PLOT02130,irrigation,mm,4,55.0,2026-05-25T00:00:00Z,2026-07-16T00:00:00Z
PLOT02130,rainfalls,mm,97,240.4,2026-04-22T00:00:00Z,2026-07-27T00:00:00Z
PLOT02131,irrigation,mm,6,150.0,2026-06-26T00:00:00Z,2026-07-24T00:00:00Z
PLOT02131,rainfalls,mm,87,175.8,2026-04-22T00:00:00Z,2026-07-27T00:00:00Z
PLOT02132,rainfalls,mm,97,246.2,2026-04-22T00:00:00Z,2026-07-27T00:00:00Z
PLOT02133,irrigation,mm,4,100.0,2026-06-30T00:00:00Z,2026-07-11T00:00:00Z
PLOT02133,rainfalls,mm,89,297.4,2026-04-30T00:00:00Z,2026-07-27T00:00:00Z
PLOT02134,irrigation,mm,12,295.0,2026-06-03T00:00:00Z,2026-07-22T00:00:00Z
PLOT02134,rainfalls,mm,97,111.4,2026-04-22T00:00:00Z,2026-07-27T00:00:00Z
PLOT02135,rainfalls,mm,97,217.2,2026-04-22T00:00:00Z,2026-07-27T00:00:00Z
PLOT02136,irrigation,mm,5,140.0,2026-06-09T00:00:00Z,2026-07-19T00:00:00Z
PLOT02136,rainfalls,mm,88,241.2,2026-04-29T00:00:00Z,2026-07-27T00:00:00Z
PLOT02137,irrigation,mm,3,40.0,2026-05-24T00:00:00Z,2026-06-17T00:00:00Z
PLOT02137,rainfalls,mm,92,270.4,2026-04-27T00:00:00Z,2026-07-27T00:00:00Z
PLOT02138,irrigation,mm,7,140.0,2026-06-17T00:00:00Z,2026-07-11T00:00:00Z
PLOT02138,rainfalls,mm,69,15.0,2026-05-20T00:00:00Z,2026-07-27T00:00:00Z
PLOT02139,rainfalls,mm,97,273.2,2026-04-22T00:00:00Z,2026-07-27T00:00:00Z
PLOT02140,irrigation,mm,10,310.0,2026-06-02T00:00:00Z,2026-07-18T00:00:00Z
PLOT02141,irrigation,mm,9,195.0,2026-05-30T00:00:00Z,2026-07-24T00:00:00Z
PLOT02141,rainfalls,mm,92,90.2,2026-04-27T00:00:00Z,2026-07-27T00:00:00Z
PLOT02142,irrigation,mm,80,0.0,2026-05-09T00:00:00Z,2026-07-27T00:00:00Z
PLOT02142,rainfalls,mm,97,363.4,2026-04-22T00:00:00Z,2026-07-27T00:00:00Z
PLOT02143,irrigation,mm,7,205.0,2026-05-19T00:00:00Z,2026-07-14T00:00:00Z
PLOT02143,rainfalls,mm,86,175.4,2026-04-27T00:00:00Z,2026-07-27T00:00:00Z
PLOT02144,irrigation,mm,7,230.0,2026-05-29T00:00:00Z,2026-07-16T00:00:00Z
PLOT02144,rainfalls,mm,97,94.0,2026-04-22T00:00:00Z,2026-07-27T00:00:00Z
PLOT02145,irrigation,mm,7,225.0,2026-05-29T00:00:00Z,2026-07-16T00:00:00Z
PLOT02145,rainfalls,mm,97,94.0,2026-04-22T00:00:00Z,2026-07-27T00:00:00Z
PLOT02146,irrigation,mm,9,220.0,2026-06-12T00:00:00Z,2026-07-21T00:00:00Z
PLOT02146,rainfalls,mm,97,82.0,2026-04-22T00:00:00Z,2026-07-27T00:00:00Z
PLOT02147,rainfalls,mm,89,317.4,2026-04-30T00:00:00Z,2026-07-27T00:00:00Z
PLOT02148,irrigation,mm,3,55.0,2026-06-08T00:00:00Z,2026-06-21T00:00:00Z
PLOT02148,rainfalls,mm,97,232.6,2026-04-22T00:00:00Z,2026-07-27T00:00:00Z
PLOT02149,irrigation,mm,9,255.0,2026-06-04T00:00:00Z,2026-07-18T00:00:00Z
PLOT02149,rainfalls,mm,92,63.4,2026-04-27T00:00:00Z,2026-07-27T00:00:00Z
PLOT02150,irrigation,mm,11,265.0,2026-04-24T00:00:00Z,2026-07-18T00:00:00Z
PLOT02150,rainfalls,mm,97,63.4,2026-04-22T00:00:00Z,2026-07-27T00:00:00Z
PLOT02151,irrigation,mm,3,55.0,2026-06-08T00:00:00Z,2026-06-23T00:00:00Z
PLOT02151,rainfalls,mm,97,263.2,2026-04-22T00:00:00Z,2026-07-27T00:00:00Z
PLOT02171,rainfalls,mm,71,291.8,2026-05-18T00:00:00Z,2026-07-27T00:00:00Z
PLOT02172,rainfalls,mm,92,450.4,2026-04-27T00:00:00Z,2026-07-27T00:00:00Z
PLOT02173,irrigation,mm,2,35.0,2026-05-22T00:00:00Z,2026-05-28T00:00:00Z
PLOT02173,rainfalls,mm,71,374.6,2026-05-18T00:00:00Z,2026-07-27T00:00:00Z
PLOT02174,irrigation,mm,7,220.0,2026-05-21T00:00:00Z,2026-07-01T00:00:00Z
PLOT02174,rainfalls,mm,76,237.0,2026-05-13T00:00:00Z,2026-07-27T00:00:00Z
PLOT02175,rainfalls,mm,71,309.0,2026-05-18T00:00:00Z,2026-07-27T00:00:00Z
PLOT02176,rainfalls,mm,72,370.9,2026-05-11T00:00:00Z,2026-07-27T00:00:00Z
PLOT02177,irrigation,mm,2,50.0,2026-04-30T00:00:00Z,2026-05-28T00:00:00Z
PLOT02177,rainfalls,mm,91,457.0,2026-04-27T00:00:00Z,2026-07-27T00:00:00Z
PLOT02178,irrigation,mm,1,25.0,2026-06-01T00:00:00Z,2026-06-01T00:00:00Z
PLOT02178,rainfalls,mm,69,324.2,2026-05-20T00:00:00Z,2026-07-27T00:00:00Z
PLOT02179,rainfalls,mm,71,470.4,2026-05-18T00:00:00Z,2026-07-27T00:00:00Z
PLOT02180,irrigation,mm,1,15.0,2026-04-18T00:00:00Z,2026-04-18T00:00:00Z
PLOT02180,rainfalls,mm,101,453.4,2026-04-18T00:00:00Z,2026-07-27T00:00:00Z
PLOT02181,rainfalls,mm,92,457.6,2026-04-27T00:00:00Z,2026-07-27T00:00:00Z
PLOT02199,irrigation,mm,2,45.0,2026-06-14T00:00:00Z,2026-06-17T00:00:00Z
PLOT02199,rainfalls,mm,66,266.0,2026-05-21T00:00:00Z,2026-07-27T00:00:00Z
PLOT02539,irrigation,mm,2,26.0,2026-05-27T00:00:00Z,2026-05-31T00:00:00Z
PLOT02539,rainfalls,mm,61,242.79999999999998,2026-05-27T00:00:00Z,2026-07-27T00:00:00Z
PLOT02572,rainfalls,mm,67,341.8,2026-05-22T00:00:00Z,2026-07-27T00:00:00Z
PLOT02573,rainfalls,mm,67,341.8,2026-05-22T00:00:00Z,2026-07-27T00:00:00Z
PLOT02574,rainfalls,mm,67,260.2,2026-05-22T00:00:00Z,2026-07-27T00:00:00Z
PLOT02579,rainfalls,mm,92,375.8,2026-04-27T00:00:00Z,2026-07-27T00:00:00Z
PLOT02584,irrigation,mm,3,75.0,2026-06-13T00:00:00Z,2026-06-22T00:00:00Z
PLOT02584,rainfalls,mm,55,252.33,2026-04-20T00:00:00Z,2026-07-27T00:00:00Z
